Samplingpoint,Pollutant,Start,End,Value,Unit
NL/SPO-NL00247_06001_101,6001,2020-01-05 11:00:00,2020-01-05 12:00:00,15.315,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 12:00:00,2020-01-05 13:00:00,16.883,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 13:00:00,2020-01-05 14:00:00,9.043,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 14:00:00,2020-01-05 15:00:00,10.8854,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 15:00:00,2020-01-05 16:00:00,15.4228,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 16:00:00,2020-01-05 17:00:00,14.7172,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 17:00:00,2020-01-05 18:00:00,14.9132,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 18:00:00,2020-01-05 19:00:00,14.286,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 19:00:00,2020-01-05 20:00:00,15.5992,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 20:00:00,2020-01-05 21:00:00,15.6482,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 21:00:00,2020-01-05 22:00:00,13.9724,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 22:00:00,2020-01-05 23:00:00,17.5004,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-05 23:00:00,2020-01-06 00:00:00,12.5122,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 00:00:00,2020-01-06 01:00:00,15.0112,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 01:00:00,2020-01-06 02:00:00,17.9316,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 02:00:00,2020-01-06 03:00:00,16.148,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 03:00:00,2020-01-06 04:00:00,20.3816,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 04:00:00,2020-01-06 05:00:00,11.5812,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 05:00:00,2020-01-06 06:00:00,9.925,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 06:00:00,2020-01-06 07:00:00,8.749,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 07:00:00,2020-01-06 08:00:00,12.9532,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 08:00:00,2020-01-06 09:00:00,11.3656,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 09:00:00,2020-01-06 10:00:00,8.306,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 10:00:00,2020-01-06 11:00:00,9.8368,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 11:00:00,2020-01-06 12:00:00,7.867,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 12:00:00,2020-01-06 13:00:00,8.5167,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 13:00:00,2020-01-06 14:00:00,11.199,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 14:00:00,2020-01-06 15:00:00,13.8058,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 15:00:00,2020-01-06 16:00:00,7.5652,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 16:00:00,2020-01-06 17:00:00,12.1104,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 17:00:00,2020-01-06 18:00:00,14.4232,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 18:00:00,2020-01-06 19:00:00,27.418,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 19:00:00,2020-01-06 20:00:00,25.1346,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 20:00:00,2020-01-06 21:00:00,16.2264,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 21:00:00,2020-01-06 22:00:00,13.0414,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 22:00:00,2020-01-06 23:00:00,13.8646,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-06 23:00:00,2020-01-07 00:00:00,19.5682,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 00:00:00,2020-01-07 01:00:00,12.7474,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 01:00:00,2020-01-07 02:00:00,10.4052,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 02:00:00,2020-01-07 03:00:00,19.1762,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 03:00:00,2020-01-07 04:00:00,17.177,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 04:00:00,2020-01-07 05:00:00,21.1362,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 05:00:00,2020-01-07 06:00:00,14.6486,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 06:00:00,2020-01-07 07:00:00,15.7266,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 07:00:00,2020-01-07 08:00:00,23.8116,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 08:00:00,2020-01-07 09:00:00,22.6258,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 09:00:00,2020-01-07 10:00:00,22.9688,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 10:00:00,2020-01-07 11:00:00,16.834,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 11:00:00,2020-01-07 12:00:00,13.7764,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 12:00:00,2020-01-07 13:00:00,17.9218,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 13:00:00,2020-01-07 14:00:00,16.1872,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 14:00:00,2020-01-07 15:00:00,17.912,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 15:00:00,2020-01-07 16:00:00,12.6396,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 16:00:00,2020-01-07 17:00:00,9.533,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 17:00:00,2020-01-07 18:00:00,15.8834,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 18:00:00,2020-01-07 19:00:00,15.756,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 19:00:00,2020-01-07 20:00:00,14.7662,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 20:00:00,2020-01-07 21:00:00,12.0222,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 21:00:00,2020-01-07 22:00:00,10.1014,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 22:00:00,2020-01-07 23:00:00,13.698,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-07 23:00:00,2020-01-08 00:00:00,7.526,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 00:00:00,2020-01-08 01:00:00,10.8462,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 01:00:00,2020-01-08 02:00:00,6.6077,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 02:00:00,2020-01-08 03:00:00,2.7641,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 03:00:00,2020-01-08 04:00:00,5.4591,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 04:00:00,2020-01-08 05:00:00,9.7486,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 05:00:00,2020-01-08 06:00:00,15.511,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 06:00:00,2020-01-08 07:00:00,1.5764,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 07:00:00,2020-01-08 08:00:00,1.0099,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 08:00:00,2020-01-08 09:00:00,3.3002,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 09:00:00,2020-01-08 10:00:00,3.9294,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 10:00:00,2020-01-08 11:00:00,5.7786,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 11:00:00,2020-01-08 12:00:00,7.3378,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 12:00:00,2020-01-08 13:00:00,8.5403,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 13:00:00,2020-01-08 14:00:00,7.3643,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 14:00:00,2020-01-08 15:00:00,5.4983,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 15:00:00,2020-01-08 16:00:00,5.2984,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 16:00:00,2020-01-08 17:00:00,3.0787,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 17:00:00,2020-01-08 18:00:00,4.8006,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 18:00:00,2020-01-08 19:00:00,9.6016,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 19:00:00,2020-01-08 20:00:00,8.1012,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 20:00:00,2020-01-08 21:00:00,13.8548,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 21:00:00,2020-01-08 22:00:00,14.1586,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 22:00:00,2020-01-08 23:00:00,8.6608,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-08 23:00:00,2020-01-09 00:00:00,11.1696,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 00:00:00,2020-01-09 01:00:00,12.13,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 01:00:00,2020-01-09 02:00:00,8.5432,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 02:00:00,2020-01-09 03:00:00,6.8645,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 03:00:00,2020-01-09 04:00:00,6.6939,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 04:00:00,2020-01-09 05:00:00,4.7467,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 05:00:00,2020-01-09 06:00:00,7.1996,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 06:00:00,2020-01-09 07:00:00,5.0956,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 07:00:00,2020-01-09 08:00:00,3.7294,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 08:00:00,2020-01-09 09:00:00,1.4353,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 09:00:00,2020-01-09 10:00:00,-1.0255,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 10:00:00,2020-01-09 11:00:00,3.7363,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 11:00:00,2020-01-09 12:00:00,3.5658,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 12:00:00,2020-01-09 13:00:00,2.1458,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 13:00:00,2020-01-09 14:00:00,1.5372,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 14:00:00,2020-01-09 15:00:00,-0.6678,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 15:00:00,2020-01-09 16:00:00,-0.6551,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 16:00:00,2020-01-09 17:00:00,1.6695,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 17:00:00,2020-01-09 18:00:00,7.6142,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 18:00:00,2020-01-09 19:00:00,4.4311,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 19:00:00,2020-01-09 20:00:00,8.2923,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 20:00:00,2020-01-09 21:00:00,6.4127,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 21:00:00,2020-01-09 22:00:00,4.8104,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 22:00:00,2020-01-09 23:00:00,7.3907,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-09 23:00:00,2020-01-10 00:00:00,3.9176,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 00:00:00,2020-01-10 01:00:00,0.2201,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 01:00:00,2020-01-10 02:00:00,2.1026,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 02:00:00,2020-01-10 03:00:00,6.2539,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 03:00:00,2020-01-10 04:00:00,4.8251,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 04:00:00,2020-01-10 05:00:00,0.567,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 05:00:00,2020-01-10 06:00:00,-1.3626,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 06:00:00,2020-01-10 07:00:00,1.5832,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 07:00:00,2020-01-10 08:00:00,3.7059,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 08:00:00,2020-01-10 09:00:00,4.3233,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 09:00:00,2020-01-10 10:00:00,5.4503,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 10:00:00,2020-01-10 11:00:00,7.1565,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 11:00:00,2020-01-10 12:00:00,3.8578,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 12:00:00,2020-01-10 13:00:00,-1.3254,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 13:00:00,2020-01-10 14:00:00,-10.65125,ug.m-3
NL/SPO-NL00247_06001_101,6001,2020-01-10 14:00:00,2020-01-10 15:00:00,-10.65125,ug.m-3
